web-scraper-order,web-scraper-start-url,pagination-selector,data-page-selector,data-page-selector-href,Product-AggregateRating-ratingValue-0,Product-Thing-name-0,Product-color-0,Product-sku-0,Product-description-0,BreadcrumbList-ListItem-name-0,Price-0,Review Count-0,Sleeve Length-0,Fit-0,Common generic name-0,Country of production-0,Net Quantity-0,Marketed and imported by-0
"1756098634-35","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1294734001.html","","Cropped","White","Art. No.: 1294734001","Cropped, sleeveless Pilates top in soft modal jersey. Slim fit with a round neckline and a twisted detail at the front.","Twist-detail Pilates top","Rs. 1,299.00","","Sleeveless","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098641-36","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1266400003.html","4.6","Cropped","Cream/Black striped","Art. No.: 1266400003","Cropped, fitted vest top in ribbed cotton jersey with a trim around the neckline and armholes.","Cropped ribbed vest top","Rs. 699.00","Reviews [14]","","Regular fit","Vest top","Bangladesh","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098646-37","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1269205001.html","5","Cropped","Black","Art. No.: 1269205001","Fitted crop top in woven fabric with a square neckline, elasticated narrow shoulder straps and an open back featuring horizontal straps with covered elastication. Lined.","Crop top","Rs. 1,299.00","Reviews [3]","Sleeveless","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098652-38","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1291280001.html","","Cropped","Light pink/Floral","Art. No.: 1291280001","Cropped bandeau top in woven fabric made from a lyocell blend with a printed pattern. Boning at the front to add shape and support and gathered side seams for a draped effect. Concealed zip and hook-and-eye fastener at one side. Lined.","Cropped bandeau top","Rs. 2,299.00","","Sleeveless","Slim fit","Top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098657-39","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1245031001.html","4.5","Cropped","Burgundy","Art. No.: 1245031001","Bralette top in sequined velour with delicate piping. Square neckline, wide grosgrain shoulder straps and concealed elastication at the hem. Jersey lining.","Sequined bralette top","Rs. 1,999.00","Reviews [2]","Sleeveless","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098664-40","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1296867001.html","5","Cropped","Black","Art. No.: 1296867001","Cropped, fitted top in heavy interlock jersey with spaghetti shoulder straps, a straight neckline and motif-detail metal buttons down the front.","Cropped strappy top","Rs. 999.00","Reviews [1]","","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098671-41","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1296867002.html","5","Cropped","White","Art. No.: 1296867002","Cropped, fitted top in heavy interlock jersey with spaghetti shoulder straps, a straight neckline and motif-detail metal buttons down the front.","Cropped strappy top","Rs. 999.00","Reviews [1]","","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098678-42","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1289905004.html","4","Cropped","Black","Art. No.: 1289905004","Cropped top in textured jersey with a deep, V-shaped neckline, twisted detail at the centre of the bust and long sleeves with flared cuffs.","Cropped twist-detail top","Rs. 1,699.00","Reviews [4]","Long sleeve","Slim fit","Top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098683-43","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1293310001.html","","Cropped","Cream","Art. No.: 1293310001","Cropped, crochet-look vest top with a round neckline and a keyhole opening with a concealed button at the back. Fringed hem. Unlined.","Crochet-look vest top","Rs. 1,999.00","","Sleeveless","Regular fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098689-44","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1283561003.html","3.7","Cropped","Dark khaki green","Art. No.: 1283561003","Cropped bralette top in jersey with lined, gathered cups and wide shoulder straps.","Bralette top","Rs. 1,499.00","Reviews [3]","Sleeveless","Slim fit","Vest top","Turkey/Türkiye","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098696-45","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1289924001.html","","Cropped","Dark brown","Art. No.: 1289924001","Cropped, sleeveless top in woven fabric with rows of fringes throughout the design. Round neckline and a keyhole opening with narrow, coated ties at the back. Straight-cut hem with a slit at each side. Lined.","Fringe-trimmed top","Rs. 1,599.00","","Sleeveless","Regular fit","Top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098702-46","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1049251002.html","4.7","Cropped","White","Art. No.: 1049251002","Cropped, fitted vest top in ribbed cotton jersey with a narrow trim around the neckline and armholes.","Cropped vest top","Rs. 699.00","Reviews [4893]","Sleeveless","Slim fit","Vest top","Bangladesh","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098707-47","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1271900002.html","4","Cropped","Black","Art. No.: 1271900002","Cropped, fitted vest top in ribbed cotton jersey with ladder lace insets around the neckline and armholes.","Cropped vest top","Rs. 999.00","Reviews [1]","","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098712-48","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1255494004.html","4.5","Cropped","Light blue","Art. No.: 1255494004","Cropped, fitted polo shirt in soft cotton jersey with a collar, button placket and short sleeves.","Cropped polo shirt","Rs. 999.00","Reviews [85]","Short sleeve","Slim fit","Polo shirt","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098718-49","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1271900001.html","4","Cropped","White","Art. No.: 1271900001","Cropped, fitted vest top in ribbed cotton jersey with ladder lace insets around the neckline and armholes.","Cropped vest top","Rs. 999.00","Reviews [1]","","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098725-50","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1293591005.html","5","Cropped","White/Gold-coloured","Art. No.: 1293591005","Cropped, fitted top in soft jersey with a deep, V-shaped neckline and wide shoulder straps. It features a braided detail with shimmering plastic beads down the front, creating a gently draped effect.","Braid-detail top","Rs. 1,299.00","Reviews [1]","Sleeveless","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098731-51","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1297263001.html","","Cropped","Dark brown","Art. No.: 1297263001","Cropped, fitted vest top in a knitted viscose blend featuring a V-neck and cut outs with irregular metal details at the front.","Knitted vest top","Rs. 2,499.00","","","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098739-52","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1296003001.html","","Cropped","Burgundy","Art. No.: 1296003001","Cropped, sleeveless top in pleated jersey with a round neckline and a drawstring hem with tassel ties at each side. Narrow piping around the neckline and armholes.","Pleated top","Rs. 1,899.00","","Sleeveless","Regular fit","Top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098746-53","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1269499001.html","5","Cropped","Cream","Art. No.: 1269499001","Cropped, fitted top in slightly stretchy denim with a round neckline and buttons down the front. Decorative pocket flaps with a button on the chest. Waist darts at the front and back to create a nipped-in effect.","Cropped denim top","Rs. 1,499.00","Reviews [1]","","Slim fit","Vest top","Bangladesh","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098752-54","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1297652001.html","","Cropped","Blue","Art. No.: 1297652001","Cropped, fitted vest top in soft jersey with a round neckline and a scoop back. Lined.","Cropped vest top","Rs. 1,299.00","","Sleeveless","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098759-55","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1283562006.html","5","Cropped","Light blue","Art. No.: 1283562006","Cropped top in textured jersey with an off-the-shoulder neckline and short balloon sleeves. Narrow elastication around the top, cuffs and hem.","Cropped off-the-shoulder top","Rs. 1,499.00","Reviews [1]","Sleeveless","Regular fit","Top","Turkey/Türkiye","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098766-56","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1290388002.html","","Cropped","Light beige","Art. No.: 1290388002","Cropped, sleeveless top in soft jersey with gathered seams for a draped and puffy silhouette. Lined.","Draped cropped top","Rs. 899.00","","Sleeveless","Regular fit","Top","Vietnam","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098773-57","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1295297002.html","","Cropped","White/Patterned","Art. No.: 1295297002","Crop top in an airy weave made from a linen and viscose blend. It features a square neckline with a drawstring and keyhole opening at the front and covered elastication at the back. Narrow tie-top shoulder straps and covered elastication at the hem.","Tie-detail crop top","Rs. 1,299.00","","","Regular fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098780-58","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1290388003.html","","Cropped","Light yellow","Art. No.: 1290388003","Cropped, sleeveless top in soft jersey with gathered seams for a draped and puffy silhouette. Lined.","Draped cropped top","Rs. 899.00","","Sleeveless","Regular fit","Top","Vietnam","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098787-59","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1266400002.html","4.6","Cropped","Beige","Art. No.: 1266400002","Cropped, fitted vest top in ribbed cotton jersey with a trim around the neckline and armholes.","Cropped ribbed vest top","Rs. 699.00","Reviews [14]","","Regular fit","Vest top","Bangladesh","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098794-60","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1290388001.html","","Cropped","Black","Art. No.: 1290388001","Cropped, sleeveless top in soft jersey with gathered seams for a draped and puffy silhouette. Lined.","Draped cropped top","Rs. 899.00","","Sleeveless","Regular fit","Top","Vietnam","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098801-61","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1265787002.html","5","","White","Art. No.: 1265787002","Set with a top and pair of trousers in ribbed cotton jersey. Tube top with concealed elastication at the top. Partly lined. Trousers with concealed elastication at the waist and straight legs.","2-piece ribbed top and trousers set","Rs. 1,699.00","Reviews [3]","","Slim fit","Garment Set - Full body","Bangladesh","1 Set - Top: 1N, Bottom: 1N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098808-62","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1283562003.html","5","Cropped","White","Art. No.: 1283562003","Cropped top in textured jersey with an off-the-shoulder neckline and short balloon sleeves. Narrow elastication around the top, cuffs and hem.","Cropped off-the-shoulder top","Rs. 1,499.00","Reviews [1]","Sleeveless","Regular fit","Top","Turkey/Türkiye","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098815-63","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1265787004.html","","","Red/White striped","Art. No.: 1265787004","Set with a top and pair of trousers in ribbed cotton jersey. Tube top with concealed elastication at the top. Partly lined. Trousers with concealed elastication at the waist and straight legs.","2-piece ribbed top and trousers set","Rs. 1,699.00","Reviews [3]","","Slim fit","Garment Set - Full body","Bangladesh","1 Set - Top: 1 N, Bottom: 1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098822-64","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1297881001.html","","Cropped","White","Art. No.: 1297881001","Crop top in soft, lace-look jersey featuring a straight, elasticated neckline with a small, V-shaped opening with narrow ties at the centre of the bust and tie-top spaghetti shoulder straps. Narrow elastication and a frill trim at the hem. Cotton lined.","Tie-top lace-look crop top","Rs. 1,299.00","","Sleeveless","Regular fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098830-65","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1291283001.html","","Cropped","Powder pink","Art. No.: 1291283001","Cropped, fitted strappy top in a sheer, crinkled weave detailed with embroidered motifs on the front containing both sequins and small glass beads. Straight neckline, adjustable spaghetti shoulder straps and a straight-cut hem. Lined.","Bead-embroidered strappy top","Rs. 2,999.00","","Sleeveless","Slim fit","Blouse","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098836-66","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1283562005.html","","Cropped","Navy blue","Art. No.: 1283562005","Cropped top in textured jersey with an off-the-shoulder neckline and short balloon sleeves. Narrow elastication around the top, cuffs and hem.","Cropped off-the-shoulder top","Rs. 1,499.00","","Sleeveless","Regular fit","Top","Turkey/Türkiye","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098844-67","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1296060005.html","5","Cropped","Brown","Art. No.: 1296060005","Cropped, fitted top in ribbed jersey featuring a lace-trimmed neckline and narrow shoulder straps. Small, decorative satin bow at the front and an overlocked edge at the hem.","Lace-trimmed strappy top","Rs. 699.00","Reviews [2]","Sleeveless","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098850-68","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1296060002.html","5","Cropped","White","Art. No.: 1296060002","Cropped, fitted top in ribbed jersey featuring a lace-trimmed neckline and narrow shoulder straps. Small, decorative satin bow at the front and an overlocked edge at the hem.","Lace-trimmed strappy top","Rs. 699.00","Reviews [2]","Sleeveless","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098856-69","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1287221003.html","5","Cropped","Dark brown","Art. No.: 1287221003","Cropped, fitted vest top in ribbed cotton jersey with a deep neckline at the front.","Cropped ribbed vest top","Rs. 649.00","Reviews [1]","Sleeveless","Slim fit","Vest top","Bangladesh","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098864-70","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1296867003.html","5","Cropped","Dark brown","Art. No.: 1296867003","Cropped, fitted top in heavy interlock jersey with spaghetti shoulder straps, a straight neckline and motif-detail metal buttons down the front.","Cropped strappy top","Rs. 999.00","Reviews [1]","","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
