web-scraper-order,web-scraper-start-url,links,links-href,brand,tittle,rating,review count,price,mrp,discount
"1756114372-25","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","KETCHCropped Top & PalazzoSizes: XLRs. 391Rs. 2449(84% OFF)","https://www.myntra.com/co-ords/ketch/ketch-round-neck-cropped-top--palazzo/22511094/buy","KETCH","Round Neck Cropped Top & Palazzo","3.8","25 Ratings","₹391","₹2449","(84% OFF)"
"1756114379-26","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","KALINIPrinted Shirt With TrouserSizes: XSRs. 1403Rs. 10799(87% OFF)Only Few Left!","https://www.myntra.com/co-ords/kalini/kalini-floral-printed-lapel-collar-shirt-with-trouser/25935720/buy","KALINI","Floral Printed Lapel Collar Shirt With Trouser","","","₹1403","₹10799","(87% OFF)"
"1756114386-27","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","PRETTY LOVING THINGPrinted Top With SkirtSizes: MRs. 479Rs. 2999(84% OFF)","https://www.myntra.com/co-ords/pretty+loving+thing/pretty-loving-thing-printed-off-shoulder-sleeveless-top-with-skirt-/31883612/buy","PRETTY LOVING THING","Printed Off-Shoulder Sleeveless Top With Skirt","","","₹479","₹2999","(84% OFF)"
"1756114393-28","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","AnoukPrinted Top With PalazzosSizes: XSRs. 799Rs. 3999(80% OFF)","https://www.myntra.com/co-ords/anouk/anouk-pink-printed-mandarin-collar-top-with-palazzos/30658559/buy","Anouk","Pink Printed Mandarin Collar Top With Palazzos","3","17 Ratings","₹799","₹3999","(80% OFF)"
"1756114400-29","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","DressBerryV-Neck Co-OrdsSizes: LRs. 799Rs. 3999(Rs. 3200 OFF)","https://www.myntra.com/co-ords/dressberry/dressberry-pink-ribbed-v-neck-top-with-trousers-co-ords/27287040/buy","DressBerry","Pink Ribbed V-Neck Top With Trousers Co-Ords","4.1","221 Ratings","₹799","₹3999","(Rs. 3200 OFF)"
"1756114407-30","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","SwastiPlus Size Printed Co-OrdsSizes: 8XLRs. 1259Rs. 6999(82% OFF)","https://www.myntra.com/co-ords/swasti/swasti-plus-size-floral-printed-pure-cotton-tunic--trouser/30114282/buy","Swasti","Plus Size Floral Printed Pure Cotton Tunic & Trouser","4","12 Ratings","₹1259","₹6999","(82% OFF)"
"1756114414-31","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","VarangaShirt Collar Tunic & TrousersSizes: LRs. 899Rs. 4599(Rs. 3700 OFF)","https://www.myntra.com/co-ords/varanga/varanga-shirt-collar-tunic-with-trousers-/27949468/buy","Varanga","Shirt Collar Tunic With Trousers","4.1","151 Ratings","₹899","₹4599","(Rs. 3700 OFF)"
"1756114421-32","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","SangriaPrinted Top & PalazzosSizes: LRs. 759Rs. 3995(81% OFF)","https://www.myntra.com/co-ords/sangria/sangria-striped-pure-cotton-sleeveless-top--palazzos-/32780497/buy","Sangria","Striped Pure Cotton Sleeveless Top & Palazzos","4.4","5 Ratings","₹759","₹3995","(81% OFF)"
"1756114428-33","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","SangriaTunic With Trousers Co-OrdsSizes: SRs. 849Rs. 4999(83% OFF)","https://www.myntra.com/co-ords/sangria/sangria-floral-printed-pure-cotton-tunic-with-trousers/30852791/buy","Sangria","Floral Printed Pure Cotton Tunic With Trousers","","","₹849","₹4999","(83% OFF)"
"1756114435-34","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","SangriaTunic & Trouser Co-OrdsSizes: XXLRs. 849Rs. 4999(83% OFF)","https://www.myntra.com/co-ords/sangria/-sangria-printed-pure-cotton-top-with-trouser-co-ords/30728076/buy","Sangria","Printed Pure Cotton Top With Trouser Co-Ords","3.9","24 Ratings","₹849","₹4999","(83% OFF)"
"1756114442-35","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","SangriaTunic With Trouser Co-Ord SetSizes: SRs. 949Rs. 4999(81% OFF)","https://www.myntra.com/co-ords/sangria/sangria-printed-pure-cotton-tunic-with-trouser-co-ord-set/32485070/buy","Sangria","Printed Pure Cotton Tunic With Trouser Co-Ord Set","3","6 Ratings","₹949","₹4999","(81% OFF)"
"1756114449-36","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","KALINIPlus Size Pure Cotton Co-OrdsSizes: 3XLRs. 1189Rs. 6999(83% OFF)","https://www.myntra.com/co-ords/kalini/kalini-plus-size-floral-printed-pure-cotton-tunic-with-trousers/30114274/buy","KALINI","Plus Size Floral Printed Pure Cotton Tunic With Trousers","4","74 Ratings","₹1189","₹6999","(83% OFF)"
"1756114456-37","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","AnoukTie & Dyed Crop Top With SkirtSizes: XSRs. 799Rs. 3999(80% OFF)","https://www.myntra.com/co-ords/anouk/anouk-tie--dyed-pure-cotton-crop-top-with-skirt/33595762/buy","Anouk","Tie & Dyed Pure Cotton Crop Top With Skirt","","","₹799","₹3999","(80% OFF)"
"1756114463-38","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","ChemistryOmbre Dyed Co-OrdsSizes: MRs. 895Rs. 5599(84% OFF)Only Few Left!","https://www.myntra.com/co-ords/chemistry/chemistry-ombre-dyed-shirt-collar-shirt-with-trousers/25045506/buy","Chemistry","Ombre Dyed Shirt Collar Shirt With Trousers","3.8","32 Ratings","₹895","₹5599","(84% OFF)"
"1756114470-39","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","SangriaTunic & Trouser Co-OrdsSizes: SRs. 949Rs. 4999(81% OFF)","https://www.myntra.com/co-ords/sangria/sangria-printed-pure-cotton-three-quarter-sleeve-tunic--trouser-co-ords/32464688/buy","Sangria","Printed Pure Cotton Three Quarter Sleeve Tunic & Trouser Co-Ords","4","24 Ratings","₹949","₹4999","(81% OFF)"
"1756114477-40","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","SangriaPrinted Tunic & TrouserSizes: XLRs. 799Rs. 4999(84% OFF)","https://www.myntra.com/co-ords/sangria/sangria-floral-printed-pure-cotton-tunic--trouser-/32769245/buy","Sangria","Floral Printed Pure Cotton Tunic & Trouser","4","22 Ratings","₹799","₹4999","(84% OFF)"
"1756114484-41","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","QUIEROPrinted Top with PalazzosSizes: SRs. 797Rs. 3986(80% OFF)Only Few Left!","https://www.myntra.com/co-ords/quiero/quiero-printed-top-with-palazzos/25951644/buy","QUIERO","Printed Top with Palazzos","4.5","138 Ratings","₹797","₹3986","(80% OFF)"
"1756114491-42","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","SangriaTunic With Trousers Co-OrdsSizes: XLRs. 899Rs. 4999(82% OFF)","https://www.myntra.com/co-ords/sangria/sangria-floral-embroidered-tunic-with-trousers-co-ords-/34135420/buy","Sangria","Floral Embroidered Tunic With Trousers Co-Ords","3.7","26 Ratings","₹899","₹4999","(82% OFF)"
"1756114498-43","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","aayuTop With SkirtSizes: LRs. 431Rs. 3599(88% OFF)","https://www.myntra.com/co-ords/aayu/aayu-square-neck-sleeveless-top-with-skirt/31680433/buy","aayu","Square Neck Sleeveless Top With Skirt","","","₹431","₹3599","(88% OFF)"
"1756114505-44","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","KOTTY BIZwearBlazer With Trouser Co-OrdsSizes: MRs. 599Rs. 3999(85% OFF)","https://www.myntra.com/co-ords/kotty+bizwear/kotty-bizwear-crop-blazer-with-trouser-co-ords/24379448/buy","KOTTY BIZwear","Crop Blazer With Trouser Co-Ords","3.7","305 Ratings","₹599","₹3999","(85% OFF)"
"1756114512-45","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","Tokyo TalkiesWaistcoat With TrousersSizes: MRs. 649Rs. 3249(Rs. 2600 OFF)","https://www.myntra.com/co-ords/tokyo+talkies/tokyo-talkies-pink-v-neck-waistcoat-with-trousers-/30824782/buy","Tokyo Talkies","Pink V-Neck Waistcoat With Trousers","4.2","202 Ratings","₹649","₹3249","(Rs. 2600 OFF)"
"1756114519-46","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","aayuTop With TrouserSizes: MRs. 539Rs. 3599(85% OFF)","https://www.myntra.com/co-ords/aayu/aayu-shirt-collar-sleeveless-top-with-trouser/31680443/buy","aayu","Shirt Collar Sleeveless Top With Trouser","","","₹539","₹3599","(85% OFF)"
"1756114526-47","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","SINGNITop With Trousers Co-OrdsSizes: 3XLRs. 899Rs. 4999(82% OFF)","https://www.myntra.com/co-ords/singni/singni-embroidered-pure-cotton-top-with-trousers-co-ords/33878746/buy","SINGNI","Embroidered Pure Cotton Top With Trousers Co-Ords","3.8","37 Ratings","₹899","₹4999","(82% OFF)"
"1756114533-48","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","SangriaTop With Trousers Co-OrdsSizes: MRs. 949Rs. 4999(81% OFF)","https://www.myntra.com/co-ords/sangria/sangria-floral-embroidery-top-with-trousers-co-ords/32464687/buy","Sangria","Floral Embroidery Top With Trousers Co-Ords","3.7","353 Ratings","₹949","₹4999","(81% OFF)"
"1756114540-49","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","aayuTop With TrouserSizes: XLRs. 467Rs. 3599(87% OFF)","https://www.myntra.com/co-ords/aayu/aayu-off-shoulder-neck-sleeveless-top-with-trouser/31680440/buy","aayu","Off-Shoulder Neck Sleeveless Top With Trouser","","","₹467","₹3599","(87% OFF)"
"1756114547-50","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","RoadsterSolid Co-ordsSizes: XSRs. 739Rs. 3699(80% OFF)Only Few Left!","https://www.myntra.com/co-ords/roadster/the-roadster-lifestyle-co-solid-co-ords/30162146/buy","Roadster","The Lifestyle Co. Solid Co-ords","4.1","22 Ratings","₹739","₹3699","(80% OFF)"
