web-scraper-order,web-scraper-start-url,links,links-href,tittle,quantity,rating,reviews,price,discount,mrp,product_type,good_for
"1756119114-1","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹24₹27SAVE₹3250 gOrganic Lady Finger4.4(2.1k)7 mins","https://www.zeptonow.com/pn/organic-lady-finger/pvid/2f3e0d1a-c35d-40a6-8e30-d98a3d780888","Organic Lady Finger","250 g","4.4","(2.1k)","₹24","11% Off","₹27","Unbranded","Yes"
"1756119117-2","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹28₹31SAVE₹3500 gCucumber White (Pandhri Kakdi)4.4(42.4k)7 mins","https://www.zeptonow.com/pn/cucumber-white-pandhri-kakdi/pvid/c6e60d75-e38b-414e-9862-193b739258a1","Cucumber White (Pandhri Kakdi)","500 g","4.4","(42.4k)","₹28","9% Off","₹31","No","Hydration"
"1756119124-3","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹23₹25SAVE₹2100 -150 gmGinger4.1(1.6k)7 mins","https://www.zeptonow.com/pn/ginger/pvid/9adb84ef-070f-41c5-b164-94a57e8cb709","Ginger","100 -150 gm","4.1","(1.6k)","₹23","8% Off","₹25","Herbs & Seasonings","Veg"
"1756119131-4","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹148₹167SAVE₹192 pcs (250 - 300 g)Capsicum Red & Yellow4(8.7k)7 mins","https://www.zeptonow.com/pn/capsicum-red-yellow/pvid/791b4663-4ce2-4de1-863c-668c5431c797","Capsicum Red & Yellow","2 pcs (250 - 300 g)","4.0","(8.7k)","₹148","11% Off","₹167","Unbranded","No"
"1756119138-5","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹116₹134SAVE₹182 pcsPomegranate4.3(31.1k)7 mins","https://www.zeptonow.com/pn/pomegranate/pvid/84f0a260-3bf2-4ab0-a242-a1cd2c0e4a8f","Pomegranate","2 pcs","4.3","(31.1k)","₹116","13% Off","₹134","Fruit","Heart Health, Immunity, and Skin"
"1756119145-6","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹47₹52SAVE₹51 pcBottle Gourd4.4(65.4k)7 mins","https://www.zeptonow.com/pn/bottle-gourd/pvid/f613462d-a4c2-4e35-9388-aa520fd90ef4","Bottle Gourd","1 pc","4.4","(65.4k)","₹47","9% Off","₹52","Unbranded","No"
"1756119152-7","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹111₹124SAVE₹13250 gSingle Clove Garlic4.5(76)7 mins","https://www.zeptonow.com/pn/single-clove-garlic/pvid/c676b327-7342-43b1-aba3-f197bfa87d56","Single Clove Garlic","250 g","4.5","(76)","₹111","10% Off","₹124","Herbs & Seasonings","Veg"
"1756119159-8","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹43₹48SAVE₹5100 gHydroponic Coriander4.6(2.2k)7 mins","https://www.zeptonow.com/pn/hydroponic-coriander/pvid/4aee681e-4fef-40b3-a5c8-247a60be817f","Hydroponic Coriander","100 g","4.6","(2.2k)","₹43","10% Off","₹48","Leafy","Anti-fungal and Immunity"
"1756119166-9","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹139₹157SAVE₹182 pcsApple Imported4.4(5.3k)7 mins","https://www.zeptonow.com/pn/apple-imported/pvid/c893d7d3-debd-44d6-9a65-df1eff1d5fe6","Apple Imported","2 pcs","4.4","(5.3k)","₹139","11% Off","₹157","Unbranded","Immunity"
"1756119173-10","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹38₹42SAVE₹4250 gBeans French4.5(38.9k)7 mins","https://www.zeptonow.com/pn/beans-french/pvid/0e23c378-f3f9-41f5-a891-7155b08cae8e","Beans French","250 g","4.5","(38.9k)","₹38","9% Off","₹42","Unbranded","250 g"
"1756119180-11","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹67₹77SAVE₹10600 - 900 gMuskmelon3.9(52.4k)7 mins","https://www.zeptonow.com/pn/muskmelon/pvid/57b5c273-4a2e-4e07-8623-9b513c01743a","Muskmelon","600 - 900 g","3.9","(52.4k)","₹67","12% Off","₹77","Unbranded","No"
"1756119188-12","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹15₹17SAVE₹250 gOrganic Curry Leaves (Kadi Patta)4.8(159)7 mins","https://www.zeptonow.com/pn/organic-curry-leaves-kadi-patta/pvid/6cd0b253-8936-414f-aa78-1fd1d65d3d57","Organic Curry Leaves (Kadi Patta)","50 g","4.8","(159)","₹15","11% Off","₹17","Unbranded","Veg"
"1756119193-13","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹34₹38SAVE₹4150 gChilli Green Medium Spicy4.5(11.5k)7 mins","https://www.zeptonow.com/pn/chilli-green-medium-spicy/pvid/0f59eb42-87e1-4079-aaa9-2aa07301818e","Chilli Green Medium Spicy","150 g","4.5","(11.5k)","₹34","10% Off","₹38","No","Unbranded"
"1756119201-14","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹130₹150SAVE₹201 pc (1.8 - 2.5 kg)Watermelon4.2(795)7 mins","https://www.zeptonow.com/pn/watermelon/pvid/878f0310-b523-4e5a-8f1b-09e69da37bd0","Watermelon","1 pc (1.8 - 2.5 kg)","4.2","(795)","₹130","13% Off","₹150","Fruits","Veg"
"1756119208-15","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹29₹32SAVE₹3250 gOrganic Drumstick4(1.5k)7 mins","https://www.zeptonow.com/pn/organic-drumstick/pvid/f619a3b6-0cdf-4e22-b3d0-b5424a746fe0","Organic Drumstick","250 g","4.0","(1.5k)","₹29","9% Off","₹32","Unbranded","Yes"
"1756119215-16","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹32₹36SAVE₹4200-300 gmCapsicum Green4.3(5.8k)7 mins","https://www.zeptonow.com/pn/capsicum-green/pvid/40bfa05a-5c35-436c-a488-8a7fb6259aea","Capsicum Green","200-300 gm","4.3","(5.8k)","₹32","11% Off","₹36","Unbranded","Veg"
"1756119222-17","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹76₹86SAVE₹103 pcsSnacky Mandarin Orange4.3(1.8k)7 mins","https://www.zeptonow.com/pn/snacky-mandarin-orange/pvid/af5a46a1-12de-4d86-9a45-2e4c3dec9206","Snacky Mandarin Orange","3 pcs","4.3","(1.8k)","₹76","11% Off","₹86","Unbranded","Yes"
"1756119229-18","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹39₹44SAVE₹5250 gSpring Onion4.4(27.5k)7 mins","https://www.zeptonow.com/pn/spring-onion/pvid/41e44169-b614-4646-8f0a-4622785b28a0","Spring Onion","250 g","4.4","(27.5k)","₹39","11% Off","₹44","Unbranded","No"
"1756119236-19","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹62₹71SAVE₹94 pcs (Approx. 460g - 480g)Guava3.8(1.5k)7 mins","https://www.zeptonow.com/pn/guava/pvid/991a55a4-f0b9-42d3-a90d-f657923fe575","Guava","4 pcs (Approx. 460g - 480g)","3.8","(1.5k)","₹62","12% Off","₹71","No","Unbranded"
"1756119243-20","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹49₹55SAVE₹6500 gCarrot Ooty4.4(75.0k)7 mins","https://www.zeptonow.com/pn/carrot-ooty/pvid/54447996-7ace-4af2-8cfc-a5d1dfc28838","Carrot Ooty","500 g","4.4","(75.0k)","₹49","10% Off","₹55","No","Unbranded"
"1756119250-21","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹59₹67SAVE₹8200 gSnacky Apple4.5(5.5k)7 mins","https://www.zeptonow.com/pn/snacky-apple/pvid/8de5b360-c890-4e1f-967c-4717f2867db9","Snacky Apple","200 g","4.5","(5.5k)","₹59","11% Off","₹67","Unbranded","Immunity"
"1756119257-22","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹61₹71SAVE₹101 kgMosambi Regular3.9(14.9k)7 mins","https://www.zeptonow.com/pn/mosambi-regular/pvid/7fda9836-69b0-4738-be17-20e0abefabd9","Mosambi Regular","1 kg","3.9","(14.9k)","₹61","14% Off","₹71","Fruits","Veg"
"1756119264-23","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹31₹35SAVE₹4500 gCucumber English4.4(49.8k)7 mins","https://www.zeptonow.com/pn/cucumber-english/pvid/28025fe8-7182-44a3-b3dc-7bab10397eda","Cucumber English","500 g","4.4","(49.8k)","₹31","11% Off","₹35","No","Hydration | Skin"
"1756119271-24","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹45₹50SAVE₹5200 gGarlic4.4(95.8k)7 mins","https://www.zeptonow.com/pn/garlic/pvid/5916b525-34af-4914-9019-233a5c3d8f5e","Garlic","200 g","4.4","(95.8k)","₹45","10% Off","₹50","No","Immunity"
"1756119278-25","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹27₹31SAVE₹4500 gOrganic Onion4.3(11.5k)7 mins","https://www.zeptonow.com/pn/organic-onion/pvid/a0fed698-8d05-4fa1-8f75-32444a1ba0f9","Organic Onion","500 g","4.3","(11.5k)","₹27","12% Off","₹31","Unbranded","Yes"
"1756119285-26","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹12₹13SAVE₹150 gLemongrass4.3(4.4k)7 mins","https://www.zeptonow.com/pn/lemongrass/pvid/d2a7d992-0129-4ba0-878f-7d6b7b86f524","Lemongrass","50 g","4.3","(4.4k)","₹12","7% Off","₹13","Unbranded","No"
"1756119292-27","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹46₹52SAVE₹6250 gFenugreek (Methi)4.1(44.8k)7 mins","https://www.zeptonow.com/pn/fenugreek-methi/pvid/b61f1aec-6aa7-4d78-9e92-ec934cc9dec6","Fenugreek (Methi)","250 g","4.1","(44.8k)","₹46","11% Off","₹52","No","Unbranded"
"1756119299-28","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹107₹121SAVE₹141 pieceSnacky Avocado4.2(16.8k)7 mins","https://www.zeptonow.com/pn/snacky-avocado/pvid/41bdd706-3d49-4c67-abc2-364679e3a16b","Snacky Avocado","1 piece","4.2","(16.8k)","₹107","11% Off","₹121","No","Unbranded"
"1756119306-29","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹46₹53SAVE₹71 pc (300 - 400 g)Coconut Kalash4.3(9.5k)7 mins","https://www.zeptonow.com/pn/coconut-kalash/pvid/e4df5371-2502-4f73-9de1-59dd91884b69","Coconut Kalash","1 pc (300 - 400 g)","4.3","(9.5k)","₹46","13% Off","₹53","Unbranded","Veg"
"1756119313-30","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹29₹32SAVE₹3200-300 gmCarrot Ooty4.5(7.3k)7 mins","https://www.zeptonow.com/pn/carrot-ooty/pvid/4b58ca34-9098-4356-86fe-31fcfe43c29b","Carrot Ooty","200-300 gm","4.5","(7.3k)","₹29","9% Off","₹32","Vegetable","Veg"
"1756119320-31","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹31₹35SAVE₹4500 gOrganic Potato4.6(8.6k)7 mins","https://www.zeptonow.com/pn/organic-potato/pvid/e57b7a66-8f43-4003-9176-0c59deacf793","Organic Potato","500 g","4.6","(8.6k)","₹31","11% Off","₹35","Unbranded","Yes"
