web-scraper-order,web-scraper-start-url,links,links-href,tittle,quantity,rating,reviews,price,discount,mrp,product_type,good_for
"1756119327-32","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹61₹70SAVE₹91 pc (400-500 g)Coconut4.1(67.5k)7 mins","https://www.zeptonow.com/pn/coconut/pvid/2d34007d-cbd5-4465-a74b-1d0ea8209e02","Coconut","1 pc (400-500 g)","4.1","(67.5k)","₹61","12% Off","₹70","Fruits","Veg"
"1756119334-33","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹38₹42SAVE₹4250 gSpinach - Cleaned, without roots4.3(115.2k)7 mins","https://www.zeptonow.com/pn/spinach-cleaned-without-roots/pvid/8f381229-025b-45c0-92e3-b89d47d6d83a","Spinach - Cleaned, without roots","250 g","4.3","(115.2k)","₹38","9% Off","₹42","No","Bone Health"
"1756119341-34","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹26₹29SAVE₹3450 - 650 gCabbage4.2(132.2k)7 mins","https://www.zeptonow.com/pn/cabbage/pvid/884648df-f4e0-45e9-b48d-191c2fb9e98b","Cabbage","450 - 650 g","4.2","(132.2k)","₹26","10% Off","₹29","No","Unbranded"
"1756119348-35","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹28₹31SAVE₹3500 gOrganic Cucumber4.4(3.6k)7 mins","https://www.zeptonow.com/pn/organic-cucumber/pvid/cf953add-ef08-4e65-a473-c9b01ec3bcf6","Organic Cucumber","500 g","4.4","(3.6k)","₹28","9% Off","₹31","Zama Organics","Yes"
"1756119355-36","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹34₹39SAVE₹5250 gLettuce Iceberg4(25.7k)7 mins","https://www.zeptonow.com/pn/lettuce-iceberg/pvid/d88c98a2-1aa0-4be0-881e-b44d1386ef4f","Lettuce Iceberg","250 g","4.0","(25.7k)","₹34","12% Off","₹39","Unbranded","No"
"1756119362-37","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹72₹83SAVE₹11600 g - 1 kgPapaya3.9(33.1k)7 mins","https://www.zeptonow.com/pn/papaya/pvid/105c48cc-d5cb-4279-ac58-fe36cc92d51d","Papaya","600 g - 1 kg","3.9","(33.1k)","₹72","13% Off","₹83","No","Unbranded"
"1756119369-38","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹52₹58SAVE₹61 pcCauliflower4.1(156.8k)7 mins","https://www.zeptonow.com/pn/cauliflower/pvid/e25ff1ac-ec59-4597-810d-b76b17490358","Cauliflower","1 pc","4.1","(156.8k)","₹52","10% Off","₹58","Unbranded","No"
"1756119376-39","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹23₹26SAVE₹3100 gOrganic Green Chilli4.2(5.9k)7 mins","https://www.zeptonow.com/pn/organic-green-chilli/pvid/a11405c8-64f7-4c01-bedc-194ed41e695f","Organic Green Chilli","100 g","4.2","(5.9k)","₹23","11% Off","₹26","Unbranded","Yes"
"1756119383-40","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹23₹26SAVE₹3100 gMint Leaves4.5(125.7k)7 mins","https://www.zeptonow.com/pn/mint-leaves/pvid/1991234b-5c47-4ee0-8d52-3cbb70fcea94","Mint Leaves","100 g","4.5","(125.7k)","₹23","11% Off","₹26","Leafy","Gut Health"
"1756119390-41","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹117₹132SAVE₹151 pcAvocado Hass Imported4.2(17.8k)7 mins","https://www.zeptonow.com/pn/avocado-hass-imported/pvid/742562ad-9189-4d7f-9256-30ec549b29da","Avocado Hass Imported","1 pc","4.2","(17.8k)","₹117","11% Off","₹132","Yes","Unbranded"
"1756119397-42","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹134₹154SAVE₹20500 gBanana Elaichi / Yelakki4.4(98.6k)7 mins","https://www.zeptonow.com/pn/banana-elaichi-yelakki/pvid/eefba042-483e-43ea-8a54-074fac418595","Banana Elaichi / Yelakki","500 g","4.4","(98.6k)","₹134","12% Off","₹154","Unbranded","Veg"
"1756119404-43","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹54₹60SAVE₹6500 gTomato Hybrid4.3(174.4k)7 mins","https://www.zeptonow.com/pn/tomato-hybrid/pvid/f7394dd2-1726-41bf-aad0-32687565b3f5","Tomato Hybrid","500 g","4.3","(174.4k)","₹54","10% Off","₹60","Unbranded","No"
"1756119411-44","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹35₹40SAVE₹5200 gOrganic Lemon4.4(6.4k)7 mins","https://www.zeptonow.com/pn/organic-lemon/pvid/6897e2f0-e12e-4895-87ff-12c44bfec6bf","Organic Lemon","200 g","4.4","(6.4k)","₹35","12% Off","₹40","Unbranded","Yes"
"1756119418-45","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹16₹18SAVE₹250 gCurry Leaves - Cleaned, without roots4.5(139.7k)7 mins","https://www.zeptonow.com/pn/curry-leaves-cleaned-without-roots/pvid/9a386433-6411-46f5-ab70-6019a3e84f8f","Curry Leaves - Cleaned, without roots","50 g","4.5","(139.7k)","₹16","11% Off","₹18","Unbranded","No"
"1756119425-46","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹246₹278SAVE₹321 pack (6 pcs)Apple Imported4.4(16.8k)7 mins","https://www.zeptonow.com/pn/apple-imported/pvid/32728b98-cdd4-4f32-b2cb-66586803c5ba","Apple Imported","1 pack (6 pcs)","4.4","(16.8k)","₹246","11% Off","₹278","Unbranded","Immunity"
"1756119432-47","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹90₹103SAVE₹13500 gPear Naspati4.4(750)7 mins","https://www.zeptonow.com/pn/pear-naspati/pvid/c46e40b0-79a7-48e5-9ba6-5a121bd79cee","Pear Naspati","500 g","4.4","(750)","₹90","12% Off","₹103","Fruit","Gut Health"
"1756119439-48","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹59₹66SAVE₹7500 gTomato Local4.3(154.6k)7 mins","https://www.zeptonow.com/pn/tomato-local/pvid/048c0bbe-6796-4750-9791-af1a322161a4","Tomato Local","500 g","4.3","(154.6k)","₹59","10% Off","₹66","Unbranded","No"
"1756119446-49","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹37₹42SAVE₹5250 gLemon4.4(41.8k)7 mins","https://www.zeptonow.com/pn/lemon/pvid/3e99d6ed-9714-4c6c-809a-c767e47dba5f","Lemon","250 g","4.4","(41.8k)","₹37","11% Off","₹42","No","Unbranded"
"1756119453-50","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹19₹22SAVE₹3250 gOrganic Beetroot4.5(10.1k)7 mins","https://www.zeptonow.com/pn/organic-beetroot/pvid/f396ba68-982b-446c-838b-2f4585104094","Organic Beetroot","250 g","4.5","(10.1k)","₹19","13% Off","₹22","Gourmet Garden","Yes"
"1756119460-51","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹114₹131SAVE₹171 pcTender Coconut4(250.9k)7 mins","https://www.zeptonow.com/pn/tender-coconut/pvid/39f257c7-84b8-44a6-9580-cbdf7809c8a1","Tender Coconut","1 pc","4.0","(250.9k)","₹114","12% Off","₹131","Fruits","No"
"1756119467-52","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹59₹67SAVE₹82 pcsSnacky Kiwi4.1(7.2k)7 mins","https://www.zeptonow.com/pn/snacky-kiwi/pvid/e61bf77e-2c25-4e89-b4df-6dce68ec2bb7","Snacky Kiwi","2 pcs","4.1","(7.2k)","₹59","11% Off","₹67","Unbranded","No"
"1756119474-53","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹63₹71SAVE₹8500 gOrganic Tomato4.4(12.3k)7 mins","https://www.zeptonow.com/pn/organic-tomato/pvid/6e63a732-9881-4487-a51a-6547ac78d121","Organic Tomato","500 g","4.4","(12.3k)","₹63","11% Off","₹71","Unbranded","Yes"
"1756119481-54","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹22₹24SAVE₹2250 gLady Finger4.2(232.4k)7 mins","https://www.zeptonow.com/pn/lady-finger/pvid/2c89bcce-7f60-4d52-9613-3ca6c10fe527","Lady Finger","250 g","4.2","(232.4k)","₹22","8% Off","₹24","No","Unbranded"
"1756119488-55","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹36₹40SAVE₹4200 gGinger4.3(145.0k)7 mins","https://www.zeptonow.com/pn/ginger/pvid/57df3a7e-6b74-4645-9ac9-f7ef3bdd6d3a","Ginger","200 g","4.3","(145.0k)","₹36","10% Off","₹40","No","Unbranded"
"1756119495-56","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹50₹56SAVE₹61 pcOrganic Cauliflower4.5(3.7k)7 mins","https://www.zeptonow.com/pn/organic-cauliflower/pvid/b95d7a4e-8db6-4477-9e4c-370a5dfbf296","Organic Cauliflower","1 pc","4.5","(3.7k)","₹50","10% Off","₹56","Unbranded","Yes"
"1756119502-57","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹45₹52SAVE₹74 pcsBanana Robusta4.3(31.4k)7 mins","https://www.zeptonow.com/pn/banana-robusta/pvid/ff9d770d-07e4-422b-925c-1bd9bf06215b","Banana Robusta","4 pcs","4.3","(31.4k)","₹45","13% Off","₹52","Unbranded","Veg"
"1756119509-58","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹52₹58SAVE₹61 Pack (900 -1000 gm)Potato4.4(486.1k)7 mins","https://www.zeptonow.com/pn/potato/pvid/f72c0479-1ae2-44fd-a65f-ca569d4f8c72","Potato","1 Pack (900 -1000 gm)","4.4","(486.1k)","₹52","10% Off","₹58","No","Gut Health"
"1756119516-59","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹31₹35SAVE₹4150 gChilli Green Spicy4.7(79.1k)7 mins","https://www.zeptonow.com/pn/chilli-green-spicy/pvid/4d237c4c-ca51-43bb-988d-c514905a7135","Chilli Green Spicy","150 g","4.7","(79.1k)","₹31","11% Off","₹35","No","Unbranded"
"1756119523-60","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹58₹65SAVE₹7200 gMushroom Button4.3(31.1k)7 mins","https://www.zeptonow.com/pn/mushroom-button/pvid/f0b87d39-a000-4f01-95da-522c4b955b93","Mushroom Button","200 g","4.3","(31.1k)","₹58","10% Off","₹65","Unbranded","No"
"1756119530-61","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹41₹47SAVE₹6500 gBanana Robusta Baby4.1(44.9k)7 mins","https://www.zeptonow.com/pn/banana-robusta-baby/pvid/3046e1a1-0157-46f5-91ad-4305b2f29fe0","Banana Robusta Baby","500 g","4.1","(44.9k)","₹41","12% Off","₹47","Unbranded","Veg"
"1756119537-62","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹49₹54SAVE₹51 Pack( 900 - 1000 Gm)Onion4.5(406.5k)7 mins","https://www.zeptonow.com/pn/onion/pvid/14010735-8a4f-4e2d-8351-9d73198bd518","Onion","1 Pack( 900 - 1000 Gm)","4.5","(406.5k)","₹49","9% Off","₹54","Unbranded","No"
"1756119544-63","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹30₹34SAVE₹4250 gOrganic Capsicum Green4.4(8.1k)7 mins","https://www.zeptonow.com/pn/organic-capsicum-green/pvid/c9f25a76-f6ca-4956-86df-84a1a90785c6","Organic Capsicum Green","250 g","4.4","(8.1k)","₹30","11% Off","₹34","Unbranded","Yes"
"1756119551-64","https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3","ADD₹22₹25SAVE₹3100 gCoriander leaves4.5(407.2k)7 mins","https://www.zeptonow.com/pn/coriander-leaves/pvid/ab0b8eef-6020-47a2-9f66-17d945d72d85","Coriander leaves","100 g","4.5","(407.2k)","₹22","12% Off","₹25","Leafy","Regulates Blood Sugar"
